epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1249,1.18966,3.4014,0.94608,0.02,0.16216,0.08717,0.06959,1.07547,3.20761,0.88332,0.0001,0.0001,0.0001
2,14.4412,1.08726,3.35026,0.94484,0.015,0.12162,0.08259,0.0675,1.07101,3.19405,0.87894,0.000219782,0.000219782,0.000219782
3,15.687,1.11199,3.30242,0.94907,0.015,0.12162,0.08259,0.0675,1.07101,3.19405,0.87894,0.000339327,0.000339327,0.000339327
4,17.1882,1.08741,3.53785,0.95886,0.015,0.12162,0.08525,0.0736,1.06771,3.1842,0.88069,0.000458634,0.000458634,0.000458634
5,18.5219,1.02409,3.30318,0.9709,0.015,0.12162,0.08525,0.0736,1.06771,3.1842,0.88069,0.000577703,0.000577703,0.000577703
6,20.4022,1.10507,3.29966,0.90987,0.015,0.12162,0.08525,0.0736,1.06771,3.1842,0.88069,0.000696535,0.000696535,0.000696535
7,22.5264,1.09815,3.93632,1.01101,0.015,0.12162,0.08525,0.0736,1.06771,3.1842,0.88069,0.000815129,0.000815129,0.000815129
8,24.068,1.07243,3.31098,0.90882,0.015,0.12162,0.08525,0.0736,1.06771,3.1842,0.88069,0.000933486,0.000933486,0.000933486
9,25.3936,1.10742,3.22833,0.91974,0.015,0.12162,0.08525,0.0736,1.06771,3.1842,0.88069,0.0010516,0.0010516,0.0010516
10,26.7246,1.07203,3.48299,0.92348,0.01833,0.14865,0.08452,0.07654,1.10365,3.19088,0.89083,0.00116949,0.00116949,0.00116949
11,27.9986,1.06301,3.29962,0.94821,0.01833,0.14865,0.08452,0.07654,1.10365,3.19088,0.89083,0.00128713,0.00128713,0.00128713
12,29.2489,1.28201,3.49599,0.9918,0.01833,0.14865,0.08452,0.07654,1.10365,3.19088,0.89083,0.00140454,0.00140454,0.00140454
13,30.9127,1.15329,3.41751,0.9376,0.01833,0.14865,0.08452,0.07654,1.10365,3.19088,0.89083,0.0015217,0.0015217,0.0015217
14,32.4832,1.10138,3.31888,0.95438,0.01833,0.14865,0.08452,0.07654,1.10365,3.19088,0.89083,0.00163864,0.00163864,0.00163864
15,33.838,1.08901,3.45469,0.94403,0.01833,0.14865,0.08452,0.07654,1.10365,3.19088,0.89083,0.00175533,0.00175533,0.00175533
16,35.7615,1.07161,3.33136,0.8995,0.01833,0.14865,0.08452,0.07654,1.10365,3.19088,0.89083,0.00187178,0.00187178,0.00187178
